register;points;region_1;title;price;province;region_2;variety;winery
0;87;Etna                      ;Nicosia 2013 Vulkà Bianco  (Etna)                                                                 ;               ;Sicily & Sardinia;                 ;White Blend               ;Nicosia                        
6;87;Vittoria                  ;Terre di Giurfo 2013 Belsito Frappato (Vittoria)                                                  ;16;Sicily & Sardinia;                 ;Frappato                  ;Terre di Giurfo                
13;87;Etna                      ;Masseria Setteporte 2012 Rosso  (Etna)                                                            ;               ;Sicily & Sardinia;                 ;Nerello Mascalese         ;Masseria Setteporte            
22;87;Sicilia                   ;Baglio di Pianetto 2007 Ficiligno White (Sicilia)                                                 ;19;Sicily & Sardinia;                 ;White Blend               ;Baglio di Pianetto             
24;87;Sicilia                   ;Canicattì 2009 Aynat Nero d'Avola (Sicilia)                                                       ;35;Sicily & Sardinia;                 ;Nero d'Avola              ;Canicattì                      
26;87;Terre Siciliane           ;Stemmari 2013 Dalila White (Terre Siciliane)                                                      ;13;Sicily & Sardinia;                 ;White Blend               ;Stemmari                       
27;87;Terre Siciliane           ;Stemmari 2013 Nero d'Avola (Terre Siciliane)                                                      ;10;Sicily & Sardinia;                 ;Nero d'Avola              ;Stemmari                       
28;87;Cerasuolo di Vittoria     ;Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)                                  ;17;Sicily & Sardinia;                 ;Red Blend                 ;Terre di Giurfo                
31;86;Sicilia                   ;Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia)                                ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Duca di Salaparuta             
32;86;Sicilia                   ;Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia)                                  ;               ;Sicily & Sardinia;                 ;White Blend               ;Duca di Salaparuta             
37;86;Sicilia                   ;Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)                                     ;21;Sicily & Sardinia;                 ;Cabernet Sauvignon        ;Feudi del Pisciotto            
38;86;Puglia                    ;Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)                                           ;11;Southern Italy   ;                 ;Primitivo                 ;Feudi di San Marzano           
39;86;Sicilia                   ;Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia)                  ;12;Sicily & Sardinia;                 ;Nero d'Avola              ;Feudo di Santa Tresa           
40;86;Sicilia                   ;Feudo Montoni 2011 Catarratto (Sicilia)                                                           ;17;Sicily & Sardinia;                 ;Catarratto                ;Feudo Montoni                  
46;86;Sicilia                   ;Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)                                        ;13;Sicily & Sardinia;                 ;Inzolia                   ;Tasca d'Almerita               
50;86;Sicilia                   ;Viticultori Associati Canicatti 2008 Scialo Red (Sicilia)                                         ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Viticultori Associati Canicatti
52;85;Monica di Sardegna        ;Cantine di Dolianova 2010 Dolia  (Monica di Sardegna)                                             ;14;Sicily & Sardinia;                 ;Monica                    ;Cantine di Dolianova           
54;85;Sicilia                   ;Corvo 2010 Rosso Red (Sicilia)                                                                    ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Corvo                          
57;85;Sicilia                   ;Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia)                                         ;13;Sicily & Sardinia;                 ;Grillo                    ;Tasca d'Almerita               
61;86;Romagna                   ;Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna)                                             ;17;Central Italy    ;                 ;Sangiovese                ;Podere dal Nespoli             
72;86;Aglianico del Vulture     ;Grifalco 2013 Daginestra  (Aglianico del Vulture)                                                 ;32;Southern Italy   ;                 ;Aglianico                 ;Grifalco                       
88;86;Vernaccia di San Gimignano;Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano)                              ;29;Tuscany          ;                 ;Vernaccia                 ;Poggio Alloro                  
89;88;Toscana                   ;Fattoria Sardi 2015 Rosato (Toscana)                                                              ;19;Tuscany          ;                 ;Rosato                    ;Fattoria Sardi                 
98;88;Morellino di Scansano     ;Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano)                                    ;30;Tuscany          ;                 ;Sangiovese                ;Serpaia di Endrizzi            
104;87;Toscana                   ;Madonna Alta 2014 Nativo Red (Toscana)                                                            ;16;Tuscany          ;                 ;Red Blend                 ;Madonna Alta                   
105;87;Toscana                   ;Marchesi Antinori 2015 Villa Antinori White (Toscana)                                             ;14;Tuscany          ;                 ;White Blend               ;Marchesi Antinori              
106;87;Toscana                   ;Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana)                                           ;30;Tuscany          ;                 ;Red Blend                 ;Marchesi de' Frescobaldi       
107;87;Toscana                   ;Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana)                           ;18;Tuscany          ;                 ;Vermentino                ;Marchesi de' Frescobaldi       
109;87;Toscana                   ;Ornellaia 2014 Le Volte Red (Toscana)                                                             ;30;Tuscany          ;                 ;Red Blend                 ;Ornellaia                      
112;87;Toscana                   ;Podere Ciona 2014 Semifonte Red (Toscana)                                                         ;15;Tuscany          ;                 ;Red Blend                 ;Podere Ciona                   
113;87;Toscana                   ;Poggioventoso 2015 Poetico White (Toscana)                                                        ;19;Tuscany          ;                 ;White Blend               ;Poggioventoso                  
118;87;Toscana                   ;Tenuta Forconi 2013 Toscano Red (Toscana)                                                         ;80;Tuscany          ;                 ;Red Blend                 ;Tenuta Forconi                 
120;92;Barolo                    ;Ceretto 2003 Bricco Rocche Prapó  (Barolo)                                                        ;70;Piedmont         ;                 ;Nebbiolo                  ;Ceretto                        
