country;variety;pontos;preco
US       ;Pinot Noir                ;885774;44
US       ;Cabernet Sauvignon        ;651220;45
US       ;Chardonnay                ;601505;28
US       ;Syrah                     ;290116;35
US       ;Red Blend                 ;261093;28
US       ;Zinfandel                 ;238102;28
US       ;Merlot                    ;201951;25
US       ;Sauvignon Blanc           ;189208;19
US       ;Bordeaux-style Red Blend  ;163597;48
US       ;Riesling                  ;154187;18
US       ;Cabernet Franc            ;88220;30
US       ;Rosé                      ;79121;18
US       ;Pinot Gris                ;76391;18
US       ;Viognier                  ;69372;24
US       ;Petite Sirah              ;65895;30
US       ;Rhône-style Red Blend     ;61930;35
US       ;Sparkling Blend           ;60317;30
US       ;White Blend               ;55778;19
US       ;Malbec                    ;47469;32
US       ;Grenache                  ;46411;33
US       ;Sangiovese                ;37779;26
US       ;Gewürztraminer            ;35651;18
US       ;Pinot Grigio              ;31007;14
US       ;Tempranillo               ;30245;30
US       ;Meritage                  ;22226;34
US       ;Barbera                   ;20864;26
US       ;Petit Verdot              ;19473;35
US       ;Rhône-style White Blend   ;19235;25
US       ;Mourvèdre                 ;19077;34
US       ;Pinot Blanc               ;17256;20
US       ;Roussanne                 ;13268;25
US       ;G-S-M                     ;13061;35
US       ;Albariño                  ;11592;23
US       ;Grenache Blanc            ;10838;25
US       ;Chenin Blanc              ;10779;19
US       ;Moscato                   ;9148;13
US       ;Primitivo                 ;9079;26
US       ;Grüner Veltliner          ;8846;20
US       ;Champagne Blend           ;8635;29
US       ;Sémillon                  ;7442;22
US       ;Fumé Blanc                ;5983;19
US       ;Cabernet Sauvignon-Syrah  ;5934;48
US       ;Port                      ;5274;35.5
US       ;Nebbiolo                  ;5116;31
US       ;Tannat                    ;4502;30
US       ;Dolcetto                  ;4362;24
US       ;Carmenère                 ;4219;34
US       ;Shiraz                    ;4040;22
US       ;Vermentino                ;4037;23.5
US       ;Bordeaux-style White Blend;3713;25
US       ;Vidal Blanc               ;3447;23
US       ;Marsanne                  ;3416;26
US       ;Semillon-Sauvignon Blanc  ;3398;25
US       ;Sauvignon Blanc-Semillon  ;3279;25
US       ;Cabernet Sauvignon-Merlot ;3262;30
US       ;Muscat Canelli            ;3150;18.5
US       ;Syrah-Grenache            ;3038;31.5
US       ;Claret                    ;2910;28
US       ;Muscat                    ;2901;16
US       ;Cinsault                  ;2775;26
US       ;Lemberger                 ;2703;18
US       ;Carignane                 ;2665;28
US       ;Syrah-Cabernet Sauvignon  ;2509;45
US       ;Pinot Meunier             ;2383;30
US       ;Charbono                  ;2293;36
US       ;Grenache-Syrah            ;2229;37
US       ;Petite Verdot             ;2221;35
US       ;Verdelho                  ;2090;16
US       ;Montepulciano             ;1917;28
US       ;Cabernet Blend            ;1863;54
US       ;Orange Muscat             ;1764;18
US       ;Gamay Noir                ;1754;24
US       ;Cabernet Franc-Merlot     ;1685;40
US       ;Touriga Nacional          ;1651;24
US       ;Merlot-Cabernet Franc     ;1601;45
US       ;Petit Manseng             ;1544;27
US       ;Chambourcin               ;1507;16
US       ;Marsanne-Roussanne        ;1481;28
US       ;Syrah-Petite Sirah        ;1436;36
US       ;Blaufränkisch             ;1413;26
US       ;Teroldego                 ;1410;29.5
US       ;Baco Noir                 ;1378;25.5
US       ;Seyval Blanc              ;1347;19
US       ;Norton                    ;1344;25
US       ;Aglianico                 ;1325;30
US       ;Arneis                    ;1321;21
US       ;Tocai Friulano            ;1312;20
US       ;Merlot-Cabernet Sauvignon ;1240;45.5
US       ;Graciano                  ;1167;28
US       ;Roussanne-Viognier        ;1159;32
US       ;Malvasia Bianca           ;1153;24
US       ;Garnacha                  ;1142;29
US       ;Cabernet Sauvignon-Caberne;1068;48
US       ;Counoise                  ;1066;31
US       ;White Riesling            ;1063;13
US       ;Colombard                 ;1059;20
US       ;Chenin Blanc-Viognier     ;1048;14
US       ;Pinotage                  ;1047;28
US       ;Auxerrois                 ;979;22
US       ;Muscat Blanc              ;971;20
US       ;Black Muscat              ;970;22
US       ;Rkatsiteli                ;941;18
US       ;Vignoles                  ;940;18
US       ;Müller-Thurgau            ;935;15
US       ;Syrah-Mourvèdre           ;883;35
US       ;Aligoté                   ;870;20.5
US       ;Traminette                ;846;15
US       ;Carignan                  ;804;35
US       ;Fiano                     ;796;20
US       ;Johannisberg Riesling     ;775;7.5
US       ;Picpoul                   ;719;26.5
US       ;Syrah-Viognier            ;717;39.5
US       ;Chardonnay-Viognier       ;682;21
US       ;Cabernet Merlot           ;676;12.5
US       ;Monastrell                ;637;24
US       ;Mission                   ;626;18
US       ;Cabernet Sauvignon-Sangiov;623;45
US       ;Syrah-Cabernet            ;617;45
US       ;Zweigelt                  ;617;30
